city_id;size_)city;size_)hut;size_)large_town;size_)mid_town;size_)town;size_)village
1732;0;0;0;1;0;0
1632;0;0;0;1;0;0
337;0;0;0;1;0;0
9;0;0;1;0;0;0
2;0;0;1;0;0;0
4;1;0;0;0;0;0
1789;0;0;1;0;0;0
5;0;0;1;0;0;0
520;0;0;1;0;0;0
1623;0;0;1;0;0;0
6;1;0;0;0;0;0
1624;0;0;1;0;0;0
13;1;0;0;0;0;0
1;1;0;0;0;0;0
8;1;0;0;0;0;0
12;0;0;1;0;0;0
350;0;0;0;1;0;0
511;0;0;0;1;0;0
16;0;0;1;0;0;0
1630;0;0;0;1;0;0
1788;0;0;1;0;0;0
1785;0;0;1;0;0;0
55;0;0;1;0;0;0
1621;0;0;1;0;0;0
1786;0;0;1;0;0;0
1769;0;0;0;1;0;0
497;0;0;0;0;1;0
330;0;0;0;1;0;0
1693;0;0;1;0;0;0
1627;0;0;1;0;0;0
3;0;0;1;0;0;0
10;0;0;1;0;0;0
514;0;0;1;0;0;0
1753;0;0;0;1;0;0
1759;0;0;1;0;0;0
347;0;0;0;1;0;0
1633;0;0;1;0;0;0
7;0;0;1;0;0;0
523;0;0;0;1;0;0
1616;0;0;0;1;0;0
513;0;0;0;1;0;0
442;0;0;1;0;0;0
504;0;0;0;1;0;0
339;0;0;1;0;0;0
449;0;0;0;1;0;0
1625;0;0;0;1;0;0
381;0;0;0;1;0;0
439;0;0;0;1;0;0
380;0;0;1;0;0;0
312;0;0;0;0;0;1
1637;0;0;1;0;0;0
452;0;0;0;1;0;0
338;0;0;0;1;0;0
496;0;0;0;0;1;0
1590;0;0;1;0;0;0
1619;0;0;0;0;0;1
526;0;0;0;1;0;0
441;0;0;0;1;0;0
279;0;0;0;1;0;0
451;0;0;0;1;0;0
519;0;0;0;1;0;0
1689;0;0;0;1;0;0
1634;0;0;0;1;0;0
187;0;0;0;0;1;0
1628;0;0;0;1;0;0
1764;0;0;0;1;0;0
382;0;0;0;1;0;0
1602;0;0;0;0;1;0
373;0;0;0;0;1;0
1629;0;0;1;0;0;0
493;0;0;0;1;0;0
435;0;0;0;1;0;0
